unknotdb-bidirectional-frontier-v0
model_id	q-grown-raster-axial-12:Q254:36d1122f5494d502e556994083a1a69adf1643d5be95cd9f80ffc13b68e68d63
limits	8	8	4	2	512	16	5	12	1
attempt	3	14286de6db802345eadbf1f850ef03fa8de455a027697888550c97301e7f88da	1	554b5030010000000200000008000000000000004100000000000000	PreferredCrossingChange	24fb94da5d11200c41e6d10f35140a9f7dd1f802da468fa07d915d0b0eb300de	4a494962a71924c927a2bd33b00a69787f0829ea4e6b14f8ed9656ede95eab91	554b50300100000003000000310000000000000004000000000000a00800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	4	14286de6db802345eadbf1f850ef03fa8de455a027697888550c97301e7f88da	1	554b5030010000000200000008000000000000000300000010000000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	1bb12ced423ed415e1fa6d46bd053c709f319d63014f8d473157879e484e5e40	554b50300100000009000000090000000000000009000000000000001900000000000000030000003000000001000000000000a0430000001000000004000000000000a000000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	5	14286de6db802345eadbf1f850ef03fa8de455a027697888550c97301e7f88da	1	554b5030010000000200000008000000000000000300000010001000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	2e0ce96b5e942570df4c6ae19bacf6c0653dcd99e7e7e796fbc83099be15a7a8	554b50300100000009000000090000000000000009000000000000001900000000000000030000003000000001000000000000a0330000001000000004000000000000a000000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	6	14286de6db802345eadbf1f850ef03fa8de455a027697888550c97301e7f88da	1	554b5030010000000200000008000000000000000300000020000000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	19f3e84b59ae994d959362c93d60aea7a885db6aab1d157fd86b3223ec6241a6	554b50300100000009000000090000000000000009000000000000001900000000000000030000003000000001000000000000a0430000002000000004000000000000a000000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	7	14286de6db802345eadbf1f850ef03fa8de455a027697888550c97301e7f88da	1	554b5030010000000200000008000000000000000300000020001000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	eb4b7641d44f559c2415483a7057b84dde5a5c1e36cc9ff3400d90b31d011594	554b50300100000009000000090000000000000009000000000000001900000000000000030000003000000001000000000000a0430000002000100004000000000000a000000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	8	14286de6db802345eadbf1f850ef03fa8de455a027697888550c97301e7f88da	1	554b5030010000000200000008000000000000000300000030000000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	59cf85a8f70d6c732503f588cea34bac9c189b58b5f44354c903fe3a7f10a0c4	554b5030010000000a000000090000000000000009000000000000001900000000000000030000003000000001000000000000a0130000003000000002000000000000a004000000000000a000000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	9	14286de6db802345eadbf1f850ef03fa8de455a027697888550c97301e7f88da	1	554b5030010000000200000008000000000000000300000030001000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	c4b44725108058f217105d4b1a9772ddeb1535dd09eb5663ae13bb7185aaec14	554b50300100000009000000090000000000000009000000000000001900000000000000030000003000000001000000000000a0430000003000100004000000000000a000000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	10	14286de6db802345eadbf1f850ef03fa8de455a027697888550c97301e7f88da	1	554b5030010000000200000008000000000000001300000010000000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	fae4eb8c41e95cbbff72945ded297e409bc9f0afe237181cec76ca447c744c3c	554b5030010000000a000000090000000000000009000000000000001900000000000000030000003000000001000000000000a0030000001000000002000000000000a004000000000000a010000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	11	14286de6db802345eadbf1f850ef03fa8de455a027697888550c97301e7f88da	1	554b5030010000000200000008000000000000001300000010001000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	d0c48411f17f4fb64ba283c756f67cdc252a116bfb32ed3e0f27c88b8835f4e8	554b5030010000000a000000090000000000000009000000000000001900000000000000030000003000000001000000000000a0030000001000100002000000000000a004000000000000a010000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	12	14286de6db802345eadbf1f850ef03fa8de455a027697888550c97301e7f88da	1	554b5030010000000200000008000000000000001300000020000000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	531851724e98a21382197d9311b989ee3451f532caf51774e3d788c9fc4f3ae3	554b5030010000000a000000090000000000000009000000000000001900000000000000030000003000000001000000000000a0030000002000000002000000000000a004000000000000a010000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	13	14286de6db802345eadbf1f850ef03fa8de455a027697888550c97301e7f88da	1	554b5030010000000200000008000000000000001300000020001000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	0fa7a38afad180e610b1ae1b84e5db33242d63b150bbd802781bbe6330689d68	554b5030010000000a000000090000000000000009000000000000001900000000000000030000003000000001000000000000a0030000002000100002000000000000a004000000000000a010000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	14	14286de6db802345eadbf1f850ef03fa8de455a027697888550c97301e7f88da	1	554b5030010000000200000008000000000000001300000030000000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	938e346d9cdbd8674b0773b40c4e9c26829b0bb6db3d20b47c01c77acd4a9896	554b5030010000000a000000090000000000000009000000000000001900000000000000030000003000000001000000000000a0030000003000000001000000000000a005000000000000a010000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	15	14286de6db802345eadbf1f850ef03fa8de455a027697888550c97301e7f88da	1	554b5030010000000200000008000000000000002300000010000000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	7bb1148307214b797d4477dc9c3c769ff3a23476459b460caea1768e1e46538a	554b50300100000009000000090000000000000009000000000000001900000000000000030000003000000001000000000000a0130000001000000006000000000000a020000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
seed	75073bd7337da56adf34d1f0380db819624ce3cc175745d08e043cc3a7cca814	1	4	5
unknotdb-frontier-manifest-v1
model_id	q-grown-raster-axial-12:Q254:36d1122f5494d502e556994083a1a69adf1643d5be95cd9f80ffc13b68e68d63
policy_limits	8	4
scramble_limits	2	512	16	5	12	1	1
enumeration	512	1	1
attempt	ordinal	target_key	scramble_cc	scramble_program	stop_reason	stopping_key	audit_sha256	inverse_edge_program	disposition
attempt	0	75073bd7337da56adf34d1f0380db819624ce3cc175745d08e043cc3a7cca814	1	554b5030010000000200000008000000000000000500000000000000	PreferredCrossingChange	f8f7168052bfd627299ba0f6af54093bc0c30f03e481515ea077c2352e048fe3	fe9885ca7483b9164b933da4e43ced38d3aea18d127a0242ddeb4dfa0657dbf8	554b50300100000003000000590000000000000004000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	1	75073bd7337da56adf34d1f0380db819624ce3cc175745d08e043cc3a7cca814	1	554b5030010000000200000008000000000000000600000000000000	PreferredCrossingChange	f8f7168052bfd627299ba0f6af54093bc0c30f03e481515ea077c2352e048fe3	9eb79d302dce265b0371f8b7d1f2d25f02b13db54b4639ac4a1c4318dd8df3f4	554b50300100000004000000090000000000100001000000000000a004000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	2	75073bd7337da56adf34d1f0380db819624ce3cc175745d08e043cc3a7cca814	1	554b5030010000000200000008000000000000004100000000000000	PreferredCrossingChange	9931be7ee4ca30da6fd313ddf1d37ca77bc19bbd651ce331b2df784f45c12af1	733a63e72ac5bd9199adb5139509598c0bdb0032f2f6d0313cf915815375222b	554b50300100000003000000010000000000000001000000000000a00800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	3	75073bd7337da56adf34d1f0380db819624ce3cc175745d08e043cc3a7cca814	1	554b5030010000000200000008000000000000000300000010000000	PreferredCrossingChange	f8f7168052bfd627299ba0f6af54093bc0c30f03e481515ea077c2352e048fe3	2bd4859dfb2c4c1067d48095e4dc5aa98d808e0a478b2c15fe118adbf6ae638f	554b50300100000005000000030000001000000001000000000000a006000000000000a000000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	4	75073bd7337da56adf34d1f0380db819624ce3cc175745d08e043cc3a7cca814	1	554b5030010000000200000008000000000000000300000010001000	PreferredCrossingChange	f8f7168052bfd627299ba0f6af54093bc0c30f03e481515ea077c2352e048fe3	43b804c63d5d6d1256da6135d67e131fd83775f0746c95820b54b184d7c1088e	554b50300100000003000000030000001000100000000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	5	75073bd7337da56adf34d1f0380db819624ce3cc175745d08e043cc3a7cca814	1	554b5030010000000200000008000000000000000300000020000000	PreferredCrossingChange	f8f7168052bfd627299ba0f6af54093bc0c30f03e481515ea077c2352e048fe3	7a11c7d2c632d60345bb5fb90798ada93dd67ff5eea85f362c65f79d6cf96b08	554b50300100000005000000030000002000000001000000000000a006000000000000a000000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	6	75073bd7337da56adf34d1f0380db819624ce3cc175745d08e043cc3a7cca814	1	554b5030010000000200000008000000000000000300000020001000	PreferredCrossingChange	f8f7168052bfd627299ba0f6af54093bc0c30f03e481515ea077c2352e048fe3	e43cf2d47b890bbc83a504cba53616caab80a0e1231256fa52bfe233eb7e7e5e	554b50300100000003000000030000002000100000000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	7	75073bd7337da56adf34d1f0380db819624ce3cc175745d08e043cc3a7cca814	1	554b5030010000000200000008000000000000000300000030000000	PreferredCrossingChange	f8f7168052bfd627299ba0f6af54093bc0c30f03e481515ea077c2352e048fe3	eef08e7a04f2ec3b630aab657fe05a7bb3d13060c3605034bd30e3cc14f2d8a8	554b50300100000005000000030000003000000001000000000000a006000000000000a000000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	8	75073bd7337da56adf34d1f0380db819624ce3cc175745d08e043cc3a7cca814	1	554b5030010000000200000008000000000000000300000030001000	PreferredCrossingChange	f8f7168052bfd627299ba0f6af54093bc0c30f03e481515ea077c2352e048fe3	7d3d2f2898da6b6113869bffa9777798a53de1c171d4816cd9b063984655820f	554b50300100000003000000030000003000100000000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	9	75073bd7337da56adf34d1f0380db819624ce3cc175745d08e043cc3a7cca814	1	554b5030010000000200000008000000000000001300000010001000	PreferredCrossingChange	f8f7168052bfd627299ba0f6af54093bc0c30f03e481515ea077c2352e048fe3	b9c7bd1012d45ca8c489592524cfe7402d3d3992c58e30ca0464afa380995570	554b50300100000003000000130000001000100010000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	10	75073bd7337da56adf34d1f0380db819624ce3cc175745d08e043cc3a7cca814	1	554b5030010000000200000008000000000000001300000020000000	PreferredCrossingChange	f8f7168052bfd627299ba0f6af54093bc0c30f03e481515ea077c2352e048fe3	0750162e1208d7adf56b3eefb5e11e5d3ca1ad19e0f66688b1c5db49bb24c296	554b50300100000005000000230000002000100002000000000000a005000000000000a010000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	11	75073bd7337da56adf34d1f0380db819624ce3cc175745d08e043cc3a7cca814	1	554b5030010000000200000008000000000000001300000020001000	PreferredCrossingChange	f8f7168052bfd627299ba0f6af54093bc0c30f03e481515ea077c2352e048fe3	af323ca77f7ee3e825f7ba934335977440cd8a2353d71da2ef8f6f763b51c705	554b50300100000005000000130000002000100001000000000000a006000000000000a010000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	12	75073bd7337da56adf34d1f0380db819624ce3cc175745d08e043cc3a7cca814	1	554b5030010000000200000008000000000000001300000030000000	PreferredCrossingChange	f8f7168052bfd627299ba0f6af54093bc0c30f03e481515ea077c2352e048fe3	b8ff48a636b0d7df5ac098b1bdc140f2e5d4743a439df8ebbe3de3dd4a21e90a	554b50300100000006000000130000003000000001000000000000a001000000000000a005000000000000a010000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	13	75073bd7337da56adf34d1f0380db819624ce3cc175745d08e043cc3a7cca814	1	554b5030010000000200000008000000000000001300000030001000	PreferredCrossingChange	f8f7168052bfd627299ba0f6af54093bc0c30f03e481515ea077c2352e048fe3	fc11d676a0c78a800fe9dc91de73a859cab4c2d85057b783eb79e33ff4683069	554b50300100000005000000130000003000100001000000000000a006000000000000a010000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	14	75073bd7337da56adf34d1f0380db819624ce3cc175745d08e043cc3a7cca814	1	554b5030010000000200000008000000000000002300000010000000	PreferredCrossingChange	f8f7168052bfd627299ba0f6af54093bc0c30f03e481515ea077c2352e048fe3	104b8e924fa4f472d33e3d330b37ab36c4b6090d50c26283ca998216668d8390	554b50300100000003000000230000001000000020000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	15	75073bd7337da56adf34d1f0380db819624ce3cc175745d08e043cc3a7cca814	1	554b5030010000000200000008000000000000002300000010001000	PreferredCrossingChange	f8f7168052bfd627299ba0f6af54093bc0c30f03e481515ea077c2352e048fe3	83bdd85f303affea33905d0d056b07f78011dd538d7b9afa5ebab87648b12d5d	554b50300100000005000000230000001000100002000000000000a005000000000000a020000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
seed	8c047428ad4ff522e151c00455198d150bf8d1cc898dad67a067bc8104ce1d22	1	4	5
unknotdb-frontier-manifest-v1
model_id	q-grown-raster-axial-12:Q254:36d1122f5494d502e556994083a1a69adf1643d5be95cd9f80ffc13b68e68d63
policy_limits	8	4
scramble_limits	2	512	16	5	12	1	1
enumeration	512	1	1
attempt	ordinal	target_key	scramble_cc	scramble_program	stop_reason	stopping_key	audit_sha256	inverse_edge_program	disposition
attempt	0	8c047428ad4ff522e151c00455198d150bf8d1cc898dad67a067bc8104ce1d22	1	554b5030010000000200000008000000000000000500000000000000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	82785f26552e3cf9b7191449a594950d881642d2c428bbd7dbc5b8033a5aaef9	554b50300100000009000000090000000000000019000000000000001900000000000000030000003000000001000000000000a0490000000000000005000000000000a004000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	1	8c047428ad4ff522e151c00455198d150bf8d1cc898dad67a067bc8104ce1d22	1	554b5030010000000200000008000000000000000600000000000000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	4a03ecf6a91bed62ca2e0fc5258c4f1d846e7c92a05ae0a291f03004c6652e51	554b503001000000080000000900000000000000190000000000000019000000000000000300000030000000090000000000100001000000000000a004000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	2	8c047428ad4ff522e151c00455198d150bf8d1cc898dad67a067bc8104ce1d22	1	554b5030010000000200000008000000000000001100000000000000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	03a7b40b4d1bc0acd38042176342586c37a02823422413f30ec701c0f5f43af2	554b50300100000007000000090000000000000009000000000000001900000000000000030000003000100003000000000000a011000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	3	8c047428ad4ff522e151c00455198d150bf8d1cc898dad67a067bc8104ce1d22	1	554b5030010000000200000008000000000000002100000000000000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	666a7b2822fcf2340e6deba47cc95ad1f6c41acc32390d7f6081a271e4824dba	554b50300100000007000000090000000000000019000000000000002900000000000000030000003000100004000000000000a021000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	4	8c047428ad4ff522e151c00455198d150bf8d1cc898dad67a067bc8104ce1d22	1	554b5030010000000200000008000000000000003200000000000000	PreferredCrossingChange	40eae4a09f1c5e9e1cd0f9e7c784ef5515b8a9557641c83f61cf1b62bb835e69	9dde8f0a52474f6feb9b85315ec5d587d72026c92f6f90a2f58a6a7244773259	554b50300100000003000000220000000000000004000000000000a00800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	5	8c047428ad4ff522e151c00455198d150bf8d1cc898dad67a067bc8104ce1d22	1	554b5030010000000200000008000000000000000300000010000000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	6b0d21a486a1bd152fbe203cf685d0c7666216859d5a2e9fb2dbd47d889f82e2	554b50300100000009000000090000000000000019000000000000001900000000000000030000003000000001000000000000a0430000001000000004000000000000a000000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	6	8c047428ad4ff522e151c00455198d150bf8d1cc898dad67a067bc8104ce1d22	1	554b5030010000000200000008000000000000000300000010001000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	b26f7bc9094edd49eff3c6bc9ad17df9eea61fafe473e13cac6a37d3670482ce	554b50300100000009000000090000000000000019000000000000001900000000000000030000003000000001000000000000a0430000001000100004000000000000a000000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	7	8c047428ad4ff522e151c00455198d150bf8d1cc898dad67a067bc8104ce1d22	1	554b5030010000000200000008000000000000000300000020000000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	42447123119428c491a39a026d7ee86b85bbc22b1ee17a7b84b2886ce98bbc99	554b50300100000009000000090000000000000019000000000000001900000000000000030000003000000001000000000000a0430000002000000004000000000000a000000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	8	8c047428ad4ff522e151c00455198d150bf8d1cc898dad67a067bc8104ce1d22	1	554b5030010000000200000008000000000000000300000020001000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	3a2ddbf04da2250cfed833906a2c8df78994c92ff7ce84f86a50c4222d444aa3	554b50300100000009000000090000000000000019000000000000001900000000000000030000003000000001000000000000a0330000002000000004000000000000a000000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	9	8c047428ad4ff522e151c00455198d150bf8d1cc898dad67a067bc8104ce1d22	1	554b5030010000000200000008000000000000000300000030000000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	1c267ed4e0bcc79291bb23ea094fc23891810013a53f34bdd78ee1b38283c7ad	554b5030010000000a000000090000000000000019000000000000001900000000000000030000003000000001000000000000a0130000003000000002000000000000a004000000000000a000000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	10	8c047428ad4ff522e151c00455198d150bf8d1cc898dad67a067bc8104ce1d22	1	554b5030010000000200000008000000000000000300000030001000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	a24debf0bb8930eead70c6990ee326367e2558f5f33b365c2ae73d807a110817	554b50300100000009000000090000000000000019000000000000001900000000000000030000003000000001000000000000a0430000003000100004000000000000a000000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	11	8c047428ad4ff522e151c00455198d150bf8d1cc898dad67a067bc8104ce1d22	1	554b5030010000000200000008000000000000001300000010000000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	418b9ac45fc8abc117a7e6aa1329e4975b51276f0dc612afa97f1aa4c968046a	554b5030010000000a000000090000000000000019000000000000001900000000000000030000003000000001000000000000a0030000001000000002000000000000a004000000000000a010000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	12	8c047428ad4ff522e151c00455198d150bf8d1cc898dad67a067bc8104ce1d22	1	554b5030010000000200000008000000000000001300000010001000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	ee1c8496bfa705279d22ea607937a4922f9ea4f99194160810c9459c90c22a3f	554b5030010000000a000000090000000000000019000000000000001900000000000000030000003000000001000000000000a0030000001000100002000000000000a004000000000000a010000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	13	8c047428ad4ff522e151c00455198d150bf8d1cc898dad67a067bc8104ce1d22	1	554b5030010000000200000008000000000000001300000020000000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	c4009235cad81ec97f0fcfeb80b2c2d7f4688a930c7b7239d21382e81ca8d98c	554b5030010000000a000000090000000000000019000000000000001900000000000000030000003000000001000000000000a0030000002000000002000000000000a004000000000000a010000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	14	8c047428ad4ff522e151c00455198d150bf8d1cc898dad67a067bc8104ce1d22	1	554b5030010000000200000008000000000000001300000020001000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	eb2289a9e24aef5607eb659d41a224d80dcb601ef93ce755130b44f11a15d3d6	554b5030010000000a000000090000000000000019000000000000001900000000000000030000003000000001000000000000a0030000002000100002000000000000a004000000000000a010000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
attempt	15	8c047428ad4ff522e151c00455198d150bf8d1cc898dad67a067bc8104ce1d22	1	554b5030010000000200000008000000000000001300000030000000	TerminalRepresentation	3513ce7ca0beb804a324c7c020fdc18d90c538f545175d1827b68170f3f86918	b7b37d349e35667a09fba92402a7e66b99db2ea78738ffaf48dd59bf6bb2b847	554b5030010000000a000000090000000000000019000000000000001900000000000000030000003000000001000000000000a0030000003000000001000000000000a005000000000000a010000000000000000800000000000000	Unchanged { current: 0, proposed: 2 }
seed	96b0bfc9dc3ff470d7c1affed20577b034dc81d232ee71ece1719b88dd94a702	1	4	5
unknotdb-frontier-manifest-v1
model_id	q-grown-raster-axial-12:Q254:36d1122f5494d502e556994083a1a69adf1643d5be95cd9f80ffc13b68e68d63
policy_limits	8	4
scramble_limits	2	512	16	5	12	1	1
enumeration	512	1	1
attempt	ordinal	target_key	scramble_cc	scramble_program	stop_reason	stopping_key	audit_sha256	inverse_edge_program	disposition
attempt	0	96b0bfc9dc3ff470d7c1affed20577b034dc81d232ee71ece1719b88dd94a702	1	554b5030010000000200000008000000000000000500000000000000	PreferredCrossingChange	62c993ebe2839e25705f7ec7f75c1019de4482bd6426db2a5107f5dd0fe75229	0b6296dece168dc219e32ae6af5c9716751fc757e1d2df8f54bf2b5ed98734b5	554b50300100000003000000590000000000000004000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	1	96b0bfc9dc3ff470d7c1affed20577b034dc81d232ee71ece1719b88dd94a702	1	554b5030010000000200000008000000000000000600000000000000	PreferredCrossingChange	62c993ebe2839e25705f7ec7f75c1019de4482bd6426db2a5107f5dd0fe75229	0338b5e0d2322fff7141309284e0cf9999836c99cf2415283072b5d092a5b61a	554b50300100000004000000090000000000100001000000000000a004000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	2	96b0bfc9dc3ff470d7c1affed20577b034dc81d232ee71ece1719b88dd94a702	1	554b5030010000000200000008000000000000000100000000000000	PreferredCrossingChange	5ae65b252236ec3f2ec77b518e839b4ebfc24d56d40da3dcf7bab6f5df9c80b8	67447d698ec84705054572f83aaa19d7aaa14703666d6a32ccfc1b25c9723533	554b50300100000003000000410000000000000004000000000000a00800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	3	96b0bfc9dc3ff470d7c1affed20577b034dc81d232ee71ece1719b88dd94a702	1	554b5030010000000200000008000000000000000300000010000000	PreferredCrossingChange	62c993ebe2839e25705f7ec7f75c1019de4482bd6426db2a5107f5dd0fe75229	42861d26d24e17edb41e4f682ea9fd955cfc29074fe94048cff99afe94efb68d	554b50300100000005000000030000001000000001000000000000a006000000000000a000000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	4	96b0bfc9dc3ff470d7c1affed20577b034dc81d232ee71ece1719b88dd94a702	1	554b5030010000000200000008000000000000000300000010001000	PreferredCrossingChange	62c993ebe2839e25705f7ec7f75c1019de4482bd6426db2a5107f5dd0fe75229	c90e1346c2896497bd72f56e2212daa263ca391a8378daac19ab2faf9b113522	554b50300100000003000000030000001000100000000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	5	96b0bfc9dc3ff470d7c1affed20577b034dc81d232ee71ece1719b88dd94a702	1	554b5030010000000200000008000000000000000300000020000000	PreferredCrossingChange	62c993ebe2839e25705f7ec7f75c1019de4482bd6426db2a5107f5dd0fe75229	f6c0d10da6b1923cb2791dac9de1616cd132d477ccc87fc037f79ab268e87caf	554b50300100000005000000030000002000000001000000000000a006000000000000a000000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
attempt	6	96b0bfc9dc3ff470d7c1affed20577b034dc81d232ee71ece1719b88dd94a702	1	554b5030010000000200000008000000000000000300000020001000	PreferredCrossingChange	62c993ebe2839e25705f7ec7f75c1019de4482bd6426db2a5107f5dd0fe75229	365d201f3326bae312c4dbfa470193cc11558fc5c882dac7ea7785b4a9aa751a	554b50300100000003000000030000002000100000000000000000000800000000000000	AcceptedAcs10 { current: 2, proposed: 2 }
