representation_id	priority	strands	word	roles
braid:bd9546378d40e538c04d06ef0de87102985a59875c5fba5b9f372e45a4304e6c	0	3	1,-2,1,-2,1,1,1,1,1,-2,-2,1	bundled-knot-table,replay-verified-evidence-start
braid:c95944e7660f069e3e3bb0a2d77adebe9e5b89a1f601c5eb017ba07a75e7d39a	0	3	-1,2,-1,-1,-1,-2,-2,1,-2,-2,-1,-1	bundled-knot-table,replay-verified-evidence-start
braid:cf017959a0cb80a5b954b247432c9584ada1d1cf65da08bb79a62eb46bc44c7e	0	3	-1,2,-1,-1,-1,-1,2,2,2,2,-1,-1	bundled-knot-table,replay-verified-evidence-start
braid:db6828f8f6d60c71f5d7595a52e45f61d6c7b8e0513d104b1d26dbcdfcf980a0	0	3	1,-2,1,-2,1,-2,1,-2,1,-2,1,1	bundled-knot-table,replay-verified-evidence-start
braid:f243676c2eacb2e51aaad362a487ccb304f51473d370b7ad83aee5cabaca18ee	0	3	1,2,1,1,-2,-1,-1,-1,-2,1,2,-1	ladder-benchmark,scheduled-ladder-source
braid:fc51459f2880ddbbeb3fb143b756ba7174b9f83c8c4e859956a9ff628cf02b49	0	3	1,-2,1,-2,1,1,-2,1,1,-2,1,1	bundled-knot-table,replay-verified-evidence-start
braid:fe7c5be57a47afc0eb922ba9378cf0052891d9cb30e895d932c9dd8e28cfa228	0	3	1,-2,-2,-2,1,1,1,-2,-2,-2,1,1	bundled-knot-table,replay-verified-evidence-start
braid:56ca662991219737ee759a247a77aa49b91cfdf4c4f615364627d3f282aa06b6	0	3	-1,2,-1,2,-1,-2,1,1,2,2,2,2,1,2	ladder-benchmark,scheduled-ladder-source
braid:c7bd2170372f673d70212c3aa2571647c4c17621c1d3d2eb9118ff08bec2ce6e	0	3	2,1,-1,2,-2,2,1,2,1,-2,2,2,2,1	replay-verified-evidence-start
braid:6f3348ef6f0b2e71c15cec31f853fcf0e671e31bb9620f32cf230fe37a9a2896	0	3	-1,-1,-2,-2,-1,-2,-2,-2,-2,-2,1,-2,-2,-1,2,2	ladder-benchmark,scheduled-ladder-source
braid:5c193c9dd7cf7c1cdfaf51c97c4ecce4f1349cec41594f967ecb1ba52905ac6c	0	3	1,1,2,2,1,1,2,1,-2,-1,2,1,-2,-2,-1,2,1,-2	ladder-benchmark,scheduled-ladder-source
braid:7544a4908f1b322e5faee2110d15514b9c9563a96e784db6e59c67b9f9f532b9	0	3	-1,-1,-2,-2,1,1,-2,1,-2,1,1,-2,1,1,2,1,-2,-1,-2,1	ladder-benchmark,scheduled-ladder-source
braid:fd6152206c9c9fad5f4e09c8bfb0472316a14408b8cacd31f7b42e6c01bd2534	0	3	1,2,-1,-2,-2,1,2,1,2,2,2,1,2,-1,-2,-1,-2,1,1,-2,-2,-1	ladder-benchmark,scheduled-ladder-source
braid:149ea6d1f85e81858d52b043c9512f9c6f51616712edc8f6415bdfd62fdb170d	0	3	2,-1,-1,-1,-2,1,1,1,2,1,1,2,-1,-1,-2,-1,-1,2,2,2,2,2,1,1	ladder-benchmark,scheduled-ladder-source
braid:58adcc0f7c0a13bd90b5ea7ab367333510e7b95e9a0779d62bbba5d47ba95375	0	4	3,1,3,2,3	replay-verified-evidence-start
braid:5deef360b9ff106cd82b95fb67129a5a23dc9f4700e4c60c7b4f2b65419c5903	0	4	1,1,2,3,2,1,2	replay-verified-evidence-start
braid:cd7a604b135b6986a255212b75a6e19343a41b1f947312da10b4dde1311b68fe	0	4	1,3,-1,1,2,3,2	replay-verified-evidence-start
braid:7d1767cb90ba36aaa96ba2c2ad96dfef673c9550ce776887b7d98cac99958a86	0	4	1,-2,3,-2,1,-2,1,-3,-2	bundled-knot-table,replay-verified-evidence-start
braid:daad6e6d52c1a61ad103c3405a6e0536ee2040b85da5079660cc407e5c443fbf	0	4	3,1,-2,2,3,2,-2,2,3	replay-verified-evidence-start
braid:009b3e49ef3f35e6298fc2350ab9ca87977adbb7fc2190cf304ffd8af8d39051	0	4	1,-2,1,3,-2,1,-2,1,3,3,-2	bundled-knot-table,replay-verified-evidence-start
braid:0541852528d7db28dc0d8ce343f2373952aa9cf1ea7b836794b0fb28bdc4ca19	0	4	-1,2,-1,2,2,-1,3,-2,-2,3,3	bundled-knot-table,replay-verified-evidence-start
braid:08d81faeeffe52c29d9656fab4bf95face02d46f0d6f0ff56b129bb444a59574	0	4	-1,2,-3,2,-1,2,-1,-1,2,-1,-3	bundled-knot-table,replay-verified-evidence-start
braid:13412f9996e214341023609055763e3a6c0a8fc186f795d486ecf6973f8109c4	0	4	1,-2,1,1,-2,3,3,-2,1,-2,3	bundled-knot-table,replay-verified-evidence-start
braid:139820af1783043a7e3b4455ef2f851ded42024df18c0c2c460e37b3be7fb933	0	4	-1,2,-1,-3,-1,-2,1,1,-2,-2,-3	bundled-knot-table,replay-verified-evidence-start
braid:2241eb328422b2f03800888e4a45ecb6336b33fff749bc002b8717aebc4c7da7	0	4	1,-2,-2,-2,1,3,3,-2,-2,-2,3	bundled-knot-table,replay-verified-evidence-start
braid:3b1c72aaec97ecc41771ef67305954ea8fb2f468bb5cce38a8d9629677d29ccd	0	4	-1,2,3,3,2,2,2,3,2,-1,2	bundled-knot-table,replay-verified-evidence-start
braid:3c35d68a0cb5c19b14036c625527c39cec4887794939470a2f7dc4606031b364	0	4	1,2,-3,2,1,1,-2,-2,1,-3,1	bundled-knot-table,replay-verified-evidence-start
braid:5c4879910fa6f2aaec1f70f9caee6ef6dbca81a74aa7827b52b3898111c1148f	0	4	1,-2,-2,3,3,-2,1,-2,3,-2,-2	bundled-knot-table,replay-verified-evidence-start
braid:75dc8bd223d2bf89c1c71aac36a33dfdb5cfc113269f1e2b17e825019a84ab5d	0	4	-1,2,2,3,-2,3,2,-1,2,-3,2	bundled-knot-table,replay-verified-evidence-start
braid:79b8c6ec4462f6422f72f2cb896bb816ffd6327795e0f5ff19714059e3b58bc9	0	4	1,-2,3,-2,1,-2,3,-2,1,1,-2	bundled-knot-table,replay-verified-evidence-start
braid:79ba86684e1537bbd77083fd08fe6268aeda864a73d59ef5baa470469196b815	0	4	1,2,1,-3,-2,-2,1,-2,1,-3,1	bundled-knot-table,replay-verified-evidence-start
braid:7c4d4faad1d10eb409ee97c8118aa1e725de316b448045a81194e1681d52573c	0	4	1,-2,3,-2,1,-2,1,-2,3,3,-2	bundled-knot-table,replay-verified-evidence-start
braid:852c9914e47d294c9981efe17980a2488da75facad7814b0468f80e3820e7edb	0	4	-1,2,-3,2,-1,-1,2,2,-1,-3,2	bundled-knot-table,replay-verified-evidence-start
braid:8f07663571c1b9ed0a7569f9c9f6d26db722154b1d4641b66c9dc89af0172be5	0	4	-1,2,-1,-3,-1,-1,-1,2,-1,-3,-1	bundled-knot-table,replay-verified-evidence-start
braid:8fc43fc0069f52241d2358cf203a40b34656bfa7e4cd2d7af2aa7f09d7732030	0	4	1,-2,3,-2,1,2,2,1,3,3,-2	bundled-knot-table,replay-verified-evidence-start
braid:93086d98b620edd7f4e583600589d9ff96103250a8df789a5477e6b50a92f852	0	4	-1,2,-1,2,2,-1,3,2,2,3,3	bundled-knot-table,replay-verified-evidence-start
braid:9acdede86b2120a50fc3036a17b339659964e0eeb248dca8e927f53983083f97	0	4	-1,-2,3,-2,-2,-2,1,-2,-2,3,-2	bundled-knot-table,replay-verified-evidence-start
braid:9b463eb8c133b57bd3dc50515e12c9ece828be752f86998a7997591dedc0771c	0	4	-1,2,-1,-1,2,-3,2,-3,2,-1,-1	bundled-knot-table,replay-verified-evidence-start
braid:a4afb29a33a8e775f5f46bddfecfeab46cc46eaa74198990e4fd3ac91cf2eb6c	0	4	1,-2,1,-2,1,3,2,2,1,3,3	bundled-knot-table,replay-verified-evidence-start
braid:afc5727c2f48f9d4258e69646a9cc1f694283756a28c4a79244bf62d33847152	0	4	1,-2,1,3,1,-2,-2,1,3,-2,3	bundled-knot-table,replay-verified-evidence-start
braid:b17d10c36921d8c47e3a4ee81d8bee6ddda980871d593e1b5a83ccec97a49130	0	4	1,-2,1,-2,-2,1,3,-2,-2,3,3	bundled-knot-table,replay-verified-evidence-start
braid:b973df1edcb26295a66954844ac8e4f2ac879051f0a4e2aac60cbf627e7fb415	0	4	1,-2,3,-2,1,-2,3,-2,-2,-2,-2	bundled-knot-table,replay-verified-evidence-start
braid:ba2de105f8bebc2695380acedb40a0fd4c21b1cf6e3cf281a4444d4c54fb3373	0	4	1,-2,3,-2,1,-2,3,-2,-2,1,1	bundled-knot-table,replay-verified-evidence-start
braid:bf24a466f93da33e7a569b44510db556978c65e1d0dc34fd03cd905eb211ff9b	0	4	1,-2,1,3,-2,1,3,-2,1,3,1	bundled-knot-table,replay-verified-evidence-start
braid:dcfda18efc117074c8d1aa2751fedc105b0bbfe0a38faa1ff019bc84e1b2365f	0	4	-1,2,3,2,-1,2,2,-1,3,2,2	bundled-knot-table,replay-verified-evidence-start
braid:e0963d022e52f9a55a245ef51998c049d739e96eb2aa5af4c0e2d0f929275160	0	4	1,-2,1,-2,3,-2,-2,-2,1,-2,3	bundled-knot-table,replay-verified-evidence-start
braid:e37ab3eadbcbbc12c4fe82d759d5d6fb7fb3d437f105d3e5d4ffc03eaaf799f7	0	4	-1,2,2,3,3,2,-1,2,2,2,3	bundled-knot-table,replay-verified-evidence-start
braid:e90144ee1381c668228509c94b28f05cdb41113f3ae98691f687093a2a822e54	0	4	-1,-2,-2,3,3,2,-1,2,2,2,3	bundled-knot-table,replay-verified-evidence-start
braid:ee3d6a3c2bbe4da1fbd0fec3770b9fed9fb95aacec41f11b84da0b7285d22c28	0	4	1,-2,1,3,-2,1,3,2,2,2,3	bundled-knot-table,replay-verified-evidence-start
braid:f06cbee7a72c9e0ac7bbf42cafa293d25b805d7dc78e33f4dfaca9a6385979ce	0	4	-1,2,-1,-3,2,2,-1,-1,-1,2,-3	bundled-knot-table,replay-verified-evidence-start
braid:f6a0686b9e058661f9d23089ac0f8eea904c6a339fa5b9fb348cd4558269ca85	0	4	1,-2,-2,-2,1,3,1,-2,-2,3,3	bundled-knot-table,replay-verified-evidence-start
braid:13b52049847a5cd9567a59519c5ddff670d87fb9c8d73ae02c8bcb346efb8a57	0	4	-1,2,-3,2,2,2,2,1,2,-3,2,2,2	bundled-knot-table,replay-verified-evidence-start
braid:2bf2b0bcb1c944e1efcb1a22b47a514a0fe6f6e36495689f0869e1e80943add1	0	4	-1,2,2,3,3,2,1,-2,3,3,-2,-2,3	bundled-knot-table,dkt-benchmark,replay-verified-evidence-start
braid:2fbcd3dded010002f6fe14b22ce9411ca921f323bce7b5277a00ef286c91658f	0	4	1,3,3,-1,-2,2,1,1,1,3,1,-1,2	replay-verified-evidence-start
braid:33d5a5b90a097dcd6fb1cb39b201e5a9e2aaab0450973159025018efd948afa2	0	4	-1,-2,3,-2,1,2,2,2,-3,2,-3,2,2	bundled-knot-table,replay-verified-evidence-start
braid:3cdad1d61f4b1cbad98f229c849601483cd4a5597ac32d58235c3c899515caaa	0	4	-1,2,3,2,-1,-1,2,2,-1,3,2,2,-1	dkt-benchmark
braid:59ac94ff39f956a31bdd70fb8136b5bc6f16fe2df3cce0575bd03e03f3b9d4eb	0	4	-1,2,2,-3,-3,2,1,2,2,-3,2,-3,2	bundled-knot-table,replay-verified-evidence-start
braid:7906f927ccfbda4278ccb7535662084bde2c65828b66471f93816a565b1c0c3b	0	4	-1,-2,3,-2,1,-2,-2,-2,-3,2,-3,-2,-2	bundled-knot-table,replay-verified-evidence-start
braid:918ebd743ef73b4d7dc2a9ec9a47f2172ddf9e7db7352e7f5d796b4a8e294a0a	0	4	-1,2,2,-3,2,2,2,1,-3,2,-3,2,2	dkt-benchmark
braid:ab5c07650f2520e03b40e4b48e52e3b52c6b86b8a0fa1efd4e0552afe4451baa	0	4	1,-2,-2,-2,3,-2,1,-2,1,-2,3,3,-2	dkt-benchmark
braid:ba1df2524ea50b8449f7f0dc089abee278bb49626be31971f40ea05ca9643e4a	0	4	1,-2,3,-2,1,1,-2,3,3,-2,-2,1,1	dkt-benchmark
braid:bdd96e325dc4b8be8e8775d94e9ddfce4e78177bde183379006041eea9ad24d9	0	4	-1,-2,-2,3,-2,3,-2,1,-2,-2,-2,3,-2	bundled-knot-table,replay-verified-evidence-start
braid:cca042745301798ff5433b5627c07610c23ea0ee2c377cf7c4ab07f04195356b	0	4	-1,2,2,3,3,2,1,2,-3,2,-3,-3,2	bundled-knot-table,replay-verified-evidence-start
braid:ce3ec8252bada1ba7d60807a1d29a5ad5388a723665ddc2b0da0175701e7927d	0	4	-1,2,2,2,-1,-3,2,-1,2,-1,-3,-1,-1	dkt-benchmark
braid:dcdda5988d2619d847de51237a5d92b55ab9152466fc5cfbf7af2d9313cd2838	0	4	-1,-2,3,3,3,-2,1,-2,-2,-2,3,-2,3	bundled-knot-table,replay-verified-evidence-start
braid:deb6421178c2435cc64e3bb64d8e6774afa12f3694861da2bf48539ac73afa47	0	4	-1,-2,3,-2,1,2,2,3,3,2,-3,2,3	bundled-knot-table,replay-verified-evidence-start
braid:df734a425d761114338c547d1b26116b44da9122da30fd86412583c2bd667930	0	4	1,-2,1,-2,-2,1,3,-2,3,-2,3,-2,3	dkt-benchmark
braid:e65db35e8acf104074f08b7327c90885cbf6ead0239bba0fe75579946602b432	0	4	-1,2,2,-3,-3,2,1,2,-3,-3,2,2,-3	bundled-knot-table,dkt-benchmark
braid:fdcff41bedbe358f5ab9eb361c8109267209acc9f4bef8a99d942af30e5ecb45	0	4	-1,2,2,-3,-3,2,1,2,-3,2,2,2,2	bundled-knot-table,replay-verified-evidence-start
braid:2a5dae38119d0482dc782919f36b478b6526b01c754f9c5a9bd199a092ec822b	0	4	-1,-2,3,-2,1,-2,3,-2,3,-2,-2,-2,-2,-2,-2	dkt-benchmark
braid:3053abf764ae232355160eb18da6688bb2e153cd5c2aa03119af26b26dd69e30	0	4	-1,2,2,-3,-3,2,1,-2,-3,-3,-3,-3,-2,-2,-3	dkt-benchmark
braid:49ee4ccdb37e3de13b8fbaf41b68c4d8b84e9a2128ed099e8136449680d152a0	0	4	-1,2,2,-3,-3,2,1,2,-3,-3,2,-3,-3,2,-3	dkt-benchmark
braid:51eeb3a27764ecd4bab1927d501d3b05c05570983cbda1567681130290ac0a01	0	4	-1,2,-3,2,2,1,2,2,-3,2,2,2,2,2,-3	dkt-benchmark
braid:5e0a09bfaaffe9ff76f51bf0966a65322856b9446c70d246ecc9dd13b60496a3	0	4	-1,2,2,3,3,2,1,-2,3,3,-2,3,3,-2,3	dkt-benchmark
braid:6bff6fcfc429e680e7609864036555b9948504477de7d5bf88f82fa8955c2a6a	0	4	-1,-2,3,3,3,-2,1,-2,3,-2,3,-2,-2,-2,-2	dkt-benchmark
braid:795f414706372e61114fc4f6b0b6be7f76fb9bf61a868bd839a53ee41ef5d9e3	0	4	-1,2,2,-3,-3,2,1,-2,-3,-2,-3,-2,-3,-2,-3	dkt-benchmark
braid:8ca7d3a8e344fd393063aea71b45962f430c66a2c8f63275582056c47aa2ac87	0	4	1,2,2,3,-3,2,1,2,1,3,2,-2,-3,1,-3	replay-verified-evidence-start
braid:9824a37976d3e7891ccecabeceaee4ec320407ee01cd40283a97a049e8f2ac85	0	4	-1,2,2,-3,-3,2,1,2,-3,-3,2,2,-3,-3,-3	dkt-benchmark
braid:9862c2f9a31db0f601887265bd78e0366907e044d3b7122f3c3ae304da71a5ed	0	4	-1,2,-3,2,-3,2,-3,2,1,2,-3,2,-3,-3,2	dkt-benchmark
braid:9b862e79a6ef4ea280f2c02e40480080c803d0c8443f0f8999885d14d0e1e1ff	0	4	-1,2,2,2,-3,2,2,1,2,2,-3,2,2,2,-3	dkt-benchmark
braid:1b7d8ca84b02c255805b10c303ca84909b89d43515a4acd7fd0af407688aaf45	0	5	1,2,1,2,-2,3,1,4	replay-verified-evidence-start
braid:853414caa2bd2bca599ec777e6d38c8622e7b5d07dcdd31c505ffc11353bcdb3	0	5	3,-2,4,1,1,-2,-3,-2,3,1	ladder-benchmark,scheduled-ladder-source
braid:af1e4b7f984c259c96ef6f10c10a2f8ae53f0ea7cf554294d16db61223250800	0	5	1,1,2,3,-3,3,2,1,2,-4	replay-verified-evidence-start
braid:a26766327a7a157c70633406c93aba3707b7cd5a302234434562a52755807a10	0	5	1,-4,-2,-1,-1,2,-4,-3,4,3,-4,2	ladder-benchmark,scheduled-ladder-source
braid:0d16fd4c53341b37485213a639b9dbfdb39d9eedeab5a14820a9f9f1b7bd9bc7	0	5	1,4,3,2,-4,2,4,-3,2,2,4,-3,2,4	ladder-benchmark,scheduled-ladder-source
braid:605d3db783981900cbf5ec1ab289372b192e5a42a5618b1507dd1948615fbba3	0	5	-1,2,-3,2,4,-3,2,-1,-3,2,-4,2,-3,2	dkt-benchmark
braid:0f32533f067898e47268bdd3bf75cf1af8ef0696417295b1299298f10c138844	0	5	-1,2,2,-3,-4,-3,-3,2,1,-2,-3,-3,-3,4,-3,-2	dkt-benchmark
braid:32623cef908216e03e5d5c0ab5ef0b7c2c47081e6c9414989feb53b36db8dcc6	0	5	1,4,-1,-1,-3,-3,1,1,4,3,-1,3,4,-1,-3,2	ladder-benchmark,scheduled-ladder-source
braid:b8a52fdc0fc5ef81d015aaa233ad01ddb7c18370df687ec97e8245a8e70119bd	0	5	-1,2,2,-3,-4,-3,-3,-3,2,1,-2,-3,-3,4,-3,-2	dkt-benchmark
braid:07c0c1cbeb5e5a71ec12a47d1d4c4398b67cd0ccded1769918c96b93310900e8	0	5	-1,2,2,-3,2,4,2,2,1,-3,2,-3,2,-3,-3,-4,3,2	dkt-benchmark
braid:9e9f78230f1704df263a1760f6fd33d5fa02f269087f8ec4a0f772a66521f4ae	0	5	-1,-2,-2,-3,-2,-2,-2,1,-2,3,-2,4,-2,3,-2,3,3,-4	dkt-benchmark
braid:a48efc408b51cfd5625422e97b8afe08eb0d67fdef96faf2b86d3bcbbd5624b7	0	5	-3,-4,-2,3,1,4,-3,-1,3,-1,3,3,4,-2,-1,-2,-2,-4	ladder-benchmark,scheduled-ladder-source
braid:d3b5e8132303873b72f800da66e3c4bacb3d7d1819be3a12868f74dea3cade4d	0	5	-1,-2,3,3,-2,-2,3,-4,-3,-2,-2,1,-2,3,-2,4,-2,-2	dkt-benchmark
braid:fea904724300a59cccd38aab8c41420f75383a71e94f81d89e1a3ea4250b050c	0	5	-1,-2,3,-2,3,-2,4,3,-2,1,-2,3,3,-4,3,3,3,2	dkt-benchmark
braid:e2247f8a483528df5c72d10c6ba29968d4dc3ec00d02743404a10a22c5cae258	0	5	-4,3,-1,-1,-4,-2,-4,-4,-4,1,2,4,-2,-1,-1,-3,-4,-1,-4,1	ladder-benchmark,scheduled-ladder-source
braid:3d53db54d9c7b6f5c128b61e380fc025a0d43b5dd4a00130b2fc251a6dfc47fc	0	5	4,-2,-4,3,-1,-3,-4,-1,-1,-2,4,-2,-4,-2,-4,-3,4,3,-4,-4,3,2	ladder-benchmark
braid:14334750856286508917a50c96f394105cb1bcc99d3666ed9e81f2d0060564c2	0	5	2,4,-3,-2,-1,-2,-1,4,-3,-1,-3,-3,-3,1,1,-2,-4,-1,4,-2,-1,-2,4,-1	ladder-benchmark
braid:731edb37b6a5bf02f5285b93888fe3bc5771cf527a43a368c2978a0ac1b88309	0	5	4,-2,-2,-3,2,4,1,1,1,1,-2,-2,-4,2,-3,-1,-2,-2,-2,-2,-3,4,2,3,4,4	ladder-benchmark
